name,url_key,path,active,is_anchor,include_in_menu,position,page_layout,display_mode,landing_page,image
What's New,what-is-new,,1,0,1,1,1column,PAGE,New Block,
Women,women,,1,0,1,2,1column,PAGE,Women Block,
Tops,tops-women,Women,1,1,1,1,,PRODUCTS,,
Jackets,jackets-women,Women/Tops,1,1,1,2,,PRODUCTS,,
Hoodies & Sweatshirts,hoodies-and-sweatshirts-women,Women/Tops,1,1,1,3,,PRODUCTS,,
Tees,tees-women,Women/Tops,1,1,1,4,,PRODUCTS,,
Bras & Tanks,tanks-women,Women/Tops,1,1,1,5,,PRODUCTS,,
Bottoms,bottoms-women,Women,1,1,1,2,,PRODUCTS,,
Pants,pants-women,Women/Bottoms,1,1,1,1,,PRODUCTS,,
Shorts,shorts-women,Women/Bottoms,1,1,1,2,,PRODUCTS,,
Men,men,,1,0,1,3,1column,PAGE,Men Block,
Tops,tops-men,Men,1,1,1,1,,PRODUCTS,,
Jackets,jackets-men,Men/Tops,1,1,1,2,,PRODUCTS,,
Hoodies & Sweatshirts,hoodies-and-sweatshirts-men,Men/Tops,1,1,1,3,,PRODUCTS,,
Tees,tees-men,Men/Tops,1,1,1,4,,PRODUCTS,,
Tanks,tanks-men,Men/Tops,1,1,1,5,,PRODUCTS,,
Bottoms,bottoms-men,Men,1,1,1,2,,PRODUCTS,,
Pants,pants-men,Men/Bottoms,1,1,1,1,,PRODUCTS,,
Shorts,shorts-men,Men/Bottoms,1,1,1,2,,PRODUCTS,,
Gear,gear,,1,0,1,4,,PRODUCTS,,
Bags,bags,Gear,1,1,1,1,,PRODUCTS,,
Fitness Equipment,fitness-equipment,Gear,1,1,1,2,,PRODUCTS,,
Watches,watches,Gear,1,1,1,3,,PRODUCTS,,
Training,training,,1,0,1,5,1column,PAGE,Training Block,
Video Download,training-video,Training,1,1,1,1,,PRODUCTS,,
Sale,sale,,1,0,1,6,,PRODUCTS,,
Gift Cards,gift-cards,,1,0,1,7,1column,PAGE,Gift Card Block,
Promotions,promotions,,1,0,0,8,,PRODUCTS,,
Featured Products,featured-products,Promotions,1,0,0,1,,PRODUCTS,,
